nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0516914	Tony Locklear	\N	\N	producer	tt0123242,tt0097666	\N
nm0517351	Knut Loewe	1962	\N	production_designer,art_department,art_director	tt1063669,tt1504261,tt4643084,tt0780517	\N
nm0517873	Paul Lohmann	1926	1995	cinematographer,camera_department	tt0080025,tt0079550,tt0074464,tt0073440	\N
nm0518067	Tat-Wah Lok	\N	\N	actor	tt3302850,tt0117760,tt0115693,tt14578988	\N
nm0518118	LokSingh	\N	\N	cinematographer	tt0246144,tt0245995,tt0246008,tt0155855	\N
nm0518429	Antonino Lombardo	\N	\N	producer,production_manager,actor	tt2512170,tt0106371,tt11575400,tt1895315	\N
nm0518591	Tadeusz Lomnicki	1927	1992	actor,director,writer	tt0064785,tt0072021,tt0077600,tt0081767	https://image.tmdb.org/t/p/{width_variable}/rr7bltC6RcW7ofspjwKtckahbb5.jpg
nm0520288	Santo Loquasto	1944	\N	production_designer,costume_designer,art_department	tt0093818,tt0109348,tt2334873,tt4513674	https://image.tmdb.org/t/p/{width_variable}/eQD2Q2snBNZVJF4DuAFqItVktJq.jpg
nm0520416	David Paul Lord	\N	\N	stunts,actor,assistant_director	tt0107978,tt0775440,tt5095030,tt9114286	\N
nm0520485	Peter Lord	1953	\N	producer,animation_department,director	tt0435939,tt0120630,tt0424095,tt0312004	https://image.tmdb.org/t/p/{width_variable}/kdEoMT0zH0PRgBByTdpEd88v3oi.jpg
nm0520608	Michal Lorenc	1955	\N	composer,music_department,soundtrack	tt0272263,tt0105185,tt1118084,tt0163019	https://image.tmdb.org/t/p/{width_variable}/5WyrWWqf7XnoDwF46Mjo2Fh4D64.jpg
nm0520700	Bernd Daktari Lorenz	1962	\N	director,producer,cinematographer	tt0464119,tt0093608,tt0463908,tt0348681	\N
nm0520726	Kurt Lorenz	\N	\N	cinematographer,camera_department,miscellaneous	tt0079983,tt0077970,tt0842370,tt0806910	\N
nm0521011	Lynn Loring	1944	\N	actress,producer,miscellaneous	tt0050051,tt0052451,tt0085970,tt0056745	https://image.tmdb.org/t/p/{width_variable}/3qFgMGUcFcuPsFCnsa6saDqMj60.jpg
nm0521284	Rolf Losansky	1931	2016	director,writer,actor	tt0071078,tt0173125,tt0348642,tt0172825	\N
nm0521443	Susanne Lothar	1960	2012	actress	tt0119167,tt1149362,tt0976051,tt1781769	https://image.tmdb.org/t/p/{width_variable}/51CyaN2rUTqvIiidOdOGvAyEGk6.jpg
nm0522160	Guy J. Louthan	\N	\N	producer,production_manager,assistant_director	tt1911644,tt0093822,tt0110308,tt8633062	\N
nm0523052	Stephen Lowe	1947	\N	writer,actor	tt0313121,tt0174417,tt0053494,tt0106124	\N
nm0523701	Bong Luk	1926	2004	director,producer,writer	tt6329900,tt1247379,tt0070082,tt4312138	\N
nm0523800	Nicholas Luard	1937	2004	writer	tt0084763,tt0083837	\N
nm0523835	Jeremy Lubbock	1931	2021	music_department,soundtrack,composer	tt0110527,tt0099422,tt0117998,tt0088939	\N
nm0524037	Dario Lucantoni	\N	\N	composer,music_department	tt0115931,tt0106312,tt0102693,tt0104111	\N
nm0524516	Daniele Luchetti	1960	\N	director,writer,actor	tt0095048,tt0846040,tt0102693,tt1509636	https://image.tmdb.org/t/p/{width_variable}/gTXCjDykIdwlGrmzr22ogIRXJQi.jpg
nm0524521	Rubens Francisco Luchetti	1930	\N	writer,producer,director	tt0084650,tt16239306,tt0260359,tt8544168	https://image.tmdb.org/t/p/{width_variable}/isBkqurNZuz2k18lFxvfQ80EwUp.jpg
nm0524899	Colin Ludlow	\N	\N	producer,script_department	tt0820333,tt0182408,tt13530040,tt0138899	\N
nm0525189	Dib Lutfi	1936	2016	cinematographer,camera_department,actor	tt0062984,tt0065631,tt0074804,tt0139919	https://image.tmdb.org/t/p/{width_variable}/5Z7IQTYaFTlZnYb0B8m3EfUUziu.jpg
nm0525420	Lutero Luiz	1933	1990	actor,assistant_director	tt0209734,tt0139614,tt0187229,tt0091686	https://image.tmdb.org/t/p/{width_variable}/neUnp3TOj0kzsOicx3WV3G4GWuQ.jpg
nm0525475	Jamie Luk	\N	\N	actor,director,writer	tt0113326,tt0102562,tt0089515,tt0091625	\N
nm0525656	Barbora Lukesová	1969	\N	actress	tt1247690,tt1014763,tt0110246,tt0355295	https://image.tmdb.org/t/p/{width_variable}/bjwSxzsB2VQe09t09otThYqHBOH.jpg
nm0525751	Viktor Lukyanov	\N	\N	production_designer	tt3256204,tt0098988,tt5303440,tt3208002	\N
nm0525938	Leopold Lummerstorfer	\N	\N	director,writer,producer	tt2161031,tt0103883,tt0114970,tt0261706	\N
nm0526649	Jessica Lundy	1966	\N	actress,writer	tt1667082,tt4711356,tt0105414,tt0117768	https://image.tmdb.org/t/p/{width_variable}/nbTcto9xjHzQIIV1gM73IJwLVbT.jpg
nm0526714	Dick Wei	1953	\N	actor,stunts,director	tt0085127,tt0092273,tt0182961,tt0100584	https://image.tmdb.org/t/p/{width_variable}/pkllOdDN2CGukmyOv2XlzoMAQfC.jpg
nm0526967	Frank Lupo	1955	2021	writer,producer,script_department	tt0086789,tt0086734,tt0084967,tt0429493	https://image.tmdb.org/t/p/{width_variable}/k1R5r3O9DmiV70Q02SRYeoMC8P2.jpg
nm0526981	Richard Lupoff	1935	2020	writer,actor	tt0098962,tt0106188	\N
nm0527336	Jo Lustig	1925	1999	producer,writer,miscellaneous	tt0297626,tt0413414,tt0090570,tt0199184	\N
nm0527620	Franz Lutzius	\N	\N	writer	tt0098181	\N
nm0527911	Svetlana Lyashinskaya	\N	\N	editor	tt0096858,tt0091563,tt0168111,tt0089721	\N
nm0528508	Laurie Lynd	1959	\N	director,writer,producer	tt9896252,tt3526078,tt1091909,tt0910847	\N
nm0528520	Edmund Lyndeck	1925	2015	actor,soundtrack	tt0461770,tt0142342,tt0960144,tt0215129	https://image.tmdb.org/t/p/{width_variable}/llzcjnIiJRKS2WcrlaRhb03OKMN.jpg
nm0528710	Stephanie Page	\N	\N	actress	tt0197039,tt0149072,tt0140111,tt0140120	\N
nm0529095	Joyce Lyons	\N	\N	actress	tt0098069,tt0096075	\N
nm0529645	Philippe Léotard	1940	2001	actor,composer,soundtrack	tt0083611,tt0969783,tt0076242,tt0069947	https://image.tmdb.org/t/p/{width_variable}/rjvSxdR594HfvlaRKURZDlPE36p.jpg
nm0529655	Anne Létourneau	1958	\N	actress	tt1334076,tt0082919,tt0098238,tt0096276	\N
nm0529931	Eduardo López Rojas	1937	1999	actor	tt0102478,tt0113896,tt0213342,tt0072601	\N
nm0529960	Eva López Sánchez	1954	\N	director,writer,editor	tt1139666,tt0151790,tt0015724,tt0314085	\N
nm0530665	Susanne Lübbe	\N	\N	editor	tt0907694,tt0095522,tt0081860,tt0096655	\N
nm0530689	Marianne Lüdcke	1943	1999	director,writer,actress	tt0233697,tt0806910,tt0087619,tt0069508	\N
nm0530903	Yuk-Sing Ma	\N	\N	stunts,actor,miscellaneous	tt1186803,tt0126839,tt0913968,tt0110463	\N
nm0530975	Dick Maas	1951	\N	writer,producer,music_department	tt0091060,tt0094651,tt1167675,tt4291700	https://image.tmdb.org/t/p/{width_variable}/tNVHmf93U9uL3PJyP09EVs7NEh1.jpg
nm0531255	Raúl Macarinni	\N	\N	actor	tt0083581,tt0085583,tt0085493,tt0098077	\N
nm0531511	Aldo Maccione	1935	\N	actor,soundtrack	tt0197370,tt0070356,tt0083161,tt0073315	https://image.tmdb.org/t/p/{width_variable}/yTBm26JEEFMeOAhyiIdwuJIhJdw.jpg
